[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.000000,0.000000,0.000000,0.005959,0.063455,-0.349000,0.512086,1.023796,0.088883,0.365267,0.254143,-0.215609,0.242963,0.048078,-0.389143,0.286674,-0.191149]
[0.000000,0.000000,0.000000,-0.001382,0.061735,-0.349000,0.519249,1.024505,0.093044,0.364181,0.268491,-0.220806,0.239332,0.044170,-0.384832,0.284132,-0.198027]
[0.000000,0.000000,0.000000,-0.008667,0.059948,-0.349000,0.526239,1.024961,0.097079,0.362593,0.282399,-0.225915,0.235685,0.040764,-0.380473,0.281578,-0.204642]
[0.000000,0.000000,0.000000,-0.016000,0.058000,-0.349000,0.533000,1.025000,0.101000,0.360000,0.296000,-0.231000,0.232000,0.038000,-0.376000,0.279000,-0.211000]
[0.000000,0.000000,0.000000,-0.006968,0.061548,-0.343581,0.515194,0.987742,0.096129,0.342484,0.293935,-0.228710,0.231710,0.037806,-0.356613,0.269677,-0.197452]
[0.000000,0.000000,0.000000,0.002065,0.065097,-0.338161,0.497387,0.950484,0.091258,0.324968,0.291871,-0.226419,0.231419,0.037613,-0.337226,0.260355,-0.183903]
[0.000000,0.000000,0.000000,0.011097,0.068645,-0.332742,0.479581,0.913226,0.086387,0.307452,0.289806,-0.224129,0.231129,0.037419,-0.317839,0.251032,-0.170355]
[0.000000,0.000000,0.000000,0.020129,0.072194,-0.327323,0.461774,0.875968,0.081516,0.289935,0.287742,-0.221839,0.230839,0.037226,-0.298452,0.241710,-0.156806]
[0.000000,0.000000,0.000000,0.029161,0.075742,-0.321903,0.443968,0.838710,0.076645,0.272419,0.285677,-0.219548,0.230548,0.037032,-0.279065,0.232387,-0.143258]
[0.000000,0.000000,0.000000,0.038194,0.079290,-0.316484,0.426161,0.801452,0.071774,0.254903,0.283613,-0.217258,0.230258,0.036839,-0.259677,0.223065,-0.129710]
[0.000000,0.000000,0.000000,0.047226,0.082839,-0.311065,0.408355,0.764194,0.066903,0.237387,0.281548,-0.214968,0.229968,0.036645,-0.240290,0.213742,-0.116161]
[0.000000,0.000000,0.000000,0.056258,0.086387,-0.305645,0.390548,0.726935,0.062032,0.219871,0.279484,-0.212677,0.229677,0.036452,-0.220903,0.204419,-0.102613]
[0.000000,0.000000,0.000000,0.065290,0.089935,-0.300226,0.372742,0.689677,0.057161,0.202355,0.277419,-0.210387,0.229387,0.036258,-0.201516,0.195097,-0.089065]
[0.000000,0.000000,0.000000,0.074323,0.093484,-0.294806,0.354935,0.652419,0.052290,0.184839,0.275355,-0.208097,0.229097,0.036065,-0.182129,0.185774,-0.075516]
[0.000000,0.000000,0.000000,0.083355,0.097032,-0.289387,0.337129,0.615161,0.047419,0.167323,0.273290,-0.205806,0.228806,0.035871,-0.162742,0.176452,-0.061968]
[0.000000,0.000000,0.000000,0.092387,0.100581,-0.283968,0.319323,0.577903,0.042548,0.149806,0.271226,-0.203516,0.228516,0.035677,-0.143355,0.167129,-0.048419]
[0.000000,0.000000,0.000000,0.101419,0.104129,-0.278548,0.301516,0.540645,0.037677,0.132290,0.269161,-0.201226,0.228226,0.035484,-0.123968,0.157806,-0.034871]
[0.000000,0.000000,0.000000,0.110452,0.107677,-0.273129,0.283710,0.503387,0.032806,0.114774,0.267097,-0.198935,0.227935,0.035290,-0.104581,0.148484,-0.021323]
[0.000000,0.000000,0.000000,0.119484,0.111226,-0.267710,0.265903,0.466129,0.027935,0.097258,0.265032,-0.196645,0.227645,0.035097,-0.085194,0.139161,-0.007774]
[0.000000,0.000000,0.000000,0.128516,0.114774,-0.262290,0.248097,0.428871,0.023065,0.079742,0.262968,-0.194355,0.227355,0.034903,-0.065806,0.129839,0.005774]
[0.000000,0.000000,0.000000,0.137548,0.118323,-0.256871,0.230290,0.391613,0.018194,0.062226,0.260903,-0.192065,0.227065,0.034710,-0.046419,0.120516,0.019323]
[0.000000,0.000000,0.000000,0.146581,0.121871,-0.251452,0.212484,0.354355,0.013323,0.044710,0.258839,-0.189774,0.226774,0.034516,-0.027032,0.111194,0.032871]
[0.000000,0.000000,0.000000,0.155613,0.125419,-0.246032,0.194677,0.317097,0.008452,0.027194,0.256774,-0.187484,0.226484,0.034323,-0.007645,0.101871,0.046419]
[0.000000,0.000000,0.000000,0.164645,0.128968,-0.240613,0.176871,0.279839,0.003581,0.009677,0.254710,-0.185194,0.226194,0.034129,0.011742,0.092548,0.059968]
[0.000000,0.000000,0.000000,0.173677,0.132516,-0.235194,0.159065,0.242581,-0.001290,-0.007839,0.252645,-0.182903,0.225903,0.033935,0.031129,0.083226,0.073516]
[0.000000,0.000000,0.000000,0.182710,0.136065,-0.229774,0.141258,0.205323,-0.006161,-0.025355,0.250581,-0.180613,0.225613,0.033742,0.050516,0.073903,0.087065]
[0.000000,0.000000,0.000000,0.191742,0.139613,-0.224355,0.123452,0.168065,-0.011032,-0.042871,0.248516,-0.178323,0.225323,0.033548,0.069903,0.064581,0.100613]
[0.000000,0.000000,0.000000,0.200774,0.143161,-0.218935,0.105645,0.130806,-0.015903,-0.060387,0.246452,-0.176032,0.225032,0.033355,0.089290,0.055258,0.114161]
[0.000000,0.000000,0.000000,0.209806,0.146710,-0.213516,0.087839,0.093548,-0.020774,-0.077903,0.244387,-0.173742,0.224742,0.033161,0.108677,0.045935,0.127710]
[0.000000,0.000000,0.000000,0.218839,0.150258,-0.208097,0.070032,0.056290,-0.025645,-0.095419,0.242323,-0.171452,0.224452,0.032968,0.128065,0.036613,0.141258]
[0.000000,0.000000,0.000000,0.227871,0.153806,-0.202677,0.052226,0.019032,-0.030516,-0.112935,0.240258,-0.169161,0.224161,0.032774,0.147452,0.027290,0.154806]
[0.000000,0.000000,0.000000,0.236903,0.157355,-0.197258,0.034419,-0.018226,-0.035387,-0.130452,0.238194,-0.166871,0.223871,0.032581,0.166839,0.017968,0.168355]
[0.000000,0.000000,0.000000,0.245935,0.160903,-0.191839,0.016613,-0.055484,-0.040258,-0.147968,0.236129,-0.164581,0.223581,0.032387,0.186226,0.008645,0.181903]
[0.000000,0.000000,0.000000,0.254968,0.164452,-0.186419,-0.001194,-0.092742,-0.045129,-0.165484,0.234065,-0.162290,0.223290,0.032194,0.205613,-0.000677,0.195452]
[0.000000,0.000000,0.000000,0.264000,0.168000,-0.181000,-0.019000,-0.130000,-0.050000,-0.183000,0.232000,-0.160000,0.223000,0.032000,0.225000,-0.010000,0.209000]
[0.000000,0.000000,0.000000,0.264019,0.168000,-0.180722,-0.019724,-0.129866,-0.048459,-0.182890,0.232013,-0.160013,0.223274,0.033213,0.224873,-0.012091,0.209658]
[0.000000,0.000000,0.000000,0.263976,0.168000,-0.181502,-0.020379,-0.130322,-0.047359,-0.183137,0.231984,-0.159984,0.222503,0.035206,0.225158,-0.014237,0.210461]
